NO,시군구,계약년월,거래금액(만원),기간,금값(1g)
1,서울특별시 송파구 장지동,201906,84000,201906,49997
2,서울특별시 송파구 방이동,201906,158000,201906,50064
3,서울특별시 송파구 잠실동,201906,177000,201906,50591
4,서울특별시 송파구 신천동,201906,123800,201906,50574
5,서울특별시 송파구 가락동,201906,71000,201906,50685
6,서울특별시 송파구 잠실동,201906,140000,201906,50877
7,서울특별시 송파구 장지동,201906,85000,201906,51040
8,서울특별시 송파구 잠실동,201906,179000,201906,50630
9,서울특별시 송파구 잠실동,201906,245000,201906,50270
10,서울특별시 송파구 잠실동,201906,191000,201906,50858
11,서울특별시 송파구 문정동,201906,155000,201906,50905
12,서울특별시 송파구 잠실동,201906,170000,201906,51709
13,서울특별시 송파구 오금동,201906,78000,201906,51241
14,서울특별시 송파구 가락동,201906,114800,201906,50976
15,서울특별시 송파구 잠실동,201906,169000,201906,51346
16,서울특별시 송파구 잠실동,201906,160000,201906,50872
17,서울특별시 송파구 방이동,201906,142000,201906,51551
18,서울특별시 송파구 거여동,201906,57000,201906,51842
19,서울특별시 송파구 문정동,201906,110000,201906,52231
20,서울특별시 송파구 잠실동,201906,165000,201906,52281
21,서울특별시 송파구 방이동,201906,90000,201906,53294
22,서울특별시 송파구 송파동,201906,129500,201906,52460
23,서울특별시 송파구 신천동,201906,160000,201906,52233
24,서울특별시 송파구 문정동,201906,152000,201906,52573
25,서울특별시 송파구 문정동,201906,68000,201906,52493
26,서울특별시 송파구 잠실동,201906,160000,201907,51810
27,서울특별시 송파구 잠실동,201906,170000,201907,52323
28,서울특별시 송파구 가락동,201906,70500,201907,53701
29,서울특별시 송파구 문정동,201906,38300,201907,53143
30,서울특별시 송파구 석촌동,201906,103000,201907,53288
31,서울특별시 송파구 잠실동,201906,229000,201907,52951
32,서울특별시 송파구 풍납동,201906,82000,201907,53434
33,서울특별시 송파구 잠실동,201906,191560,201907,53006
34,서울특별시 송파구 석촌동,201906,96000,201907,52935
35,서울특별시 송파구 잠실동,201906,190000,201907,53795
36,서울특별시 송파구 신천동,201906,74800,201907,53513
37,서울특별시 송파구 신천동,201906,144000,201907,53673
38,서울특별시 송파구 가락동,201906,118000,201907,53629
39,서울특별시 송파구 가락동,201906,132000,201907,53598
40,서울특별시 송파구 가락동,201906,92500,201907,53347
41,서울특별시 송파구 신천동,201906,147500,201907,53862
42,서울특별시 송파구 신천동,201906,118000,201907,54465
43,서울특별시 송파구 잠실동,201906,158000,201907,53985
44,서울특별시 송파구 방이동,201906,169000,201907,54096
45,서울특별시 송파구 장지동,201906,84500,201907,53893
46,서울특별시 송파구 풍납동,201906,58000,201907,53957
47,서울특별시 송파구 마천동,201906,44000,201907,54203
48,서울특별시 송파구 거여동,201906,77900,201907,54048
49,서울특별시 송파구 신천동,201906,183000,201907,54106
50,서울특별시 송파구 장지동,201906,90000,201907,54054
51,서울특별시 송파구 잠실동,201906,103700,201907,54184
52,서울특별시 송파구 풍납동,201906,83000,201907,54428
53,서울특별시 송파구 송파동,201906,126000,201908,53793
54,서울특별시 송파구 문정동,201906,162000,201908,55576
55,서울특별시 송파구 신천동,201906,80000,201908,55842
56,서울특별시 송파구 오금동,201906,94700,201908,56886
57,서울특별시 송파구 문정동,201906,119000,201908,57137
58,서울특별시 송파구 잠실동,201906,175500,201908,58098
59,서울특별시 송파구 마천동,201906,49000,201908,58298
60,서울특별시 송파구 잠실동,201906,74000,201908,58567
61,서울특별시 송파구 거여동,201906,43250,201908,58582
62,서울특별시 송파구 장지동,201906,83900,201908,58426
63,서울특별시 송파구 잠실동,201906,170000,201908,60119
64,서울특별시 송파구 방이동,201906,149500,201908,58460
65,서울특별시 송파구 방이동,201906,125000,201908,59136
66,서울특별시 송파구 가락동,201906,82800,201908,59051
67,서울특별시 송파구 잠실동,201906,74900,201908,58925
68,서울특별시 송파구 잠실동,201906,193500,201908,58645
69,서울특별시 송파구 잠실동,201906,172000,201908,58316
70,서울특별시 송파구 장지동,201906,84700,201908,57965
71,서울특별시 송파구 방이동,201906,85000,201908,58182
72,서울특별시 송파구 오금동,201906,94000,201908,58303
73,서울특별시 송파구 잠실동,201906,199425,201908,59688
74,서울특별시 송파구 신천동,201906,180000,201908,59891
75,서울특별시 송파구 방이동,201906,89000,201908,59786
76,서울특별시 송파구 잠실동,201906,178000,201908,60251
77,서울특별시 송파구 잠실동,201906,144500,201908,60151
78,서울특별시 송파구 잠실동,201906,173000,201908,59230
79,서울특별시 송파구 오금동,201906,62200,201908,59262
80,서울특별시 송파구 방이동,201906,96000,201909,59388
81,서울특별시 송파구 잠실동,201906,174000,201909,59886
82,서울특별시 송파구 오금동,201906,94000,201909,59598
83,서울특별시 송파구 신천동,201906,180000,201909,59588
84,서울특별시 송파구 가락동,201906,95000,201909,58043
85,서울특별시 송파구 마천동,201906,69000,201909,57879
86,서울특별시 송파구 문정동,201906,125000,201909,57775
87,서울특별시 송파구 방이동,201906,150000,201909,57199
88,서울특별시 송파구 신천동,201906,148500,201909,57170
89,서울특별시 송파구 잠실동,201906,154000,201909,57209
90,서울특별시 송파구 송파동,201906,110000,201909,57061
91,서울특별시 송파구 신천동,201906,124500,201909,56553
92,서울특별시 송파구 잠실동,201906,197000,201909,57260
93,서울특별시 송파구 송파동,201906,120000,201909,57351
94,서울특별시 송파구 가락동,201906,104000,201909,57641
95,서울특별시 송파구 잠실동,201906,191060,201909,57468
96,서울특별시 송파구 잠실동,201906,158000,201909,57580
97,서울특별시 송파구 풍납동,201906,87800,201909,58342
98,서울특별시 송파구 잠실동,201906,160000,201909,58424
